제목,링크,썸네일,높이,폭
남자 와이드 청바지 브러쉬 워싱 연청 데님팬츠 남자청바지 : MOMOCO,http://shop1.phinf.naver.net/20240808_72/1723103647670UKO0n_JPEG/72828742151122263_1771987978.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240808_72/1723103647670UKO0n_JPEG/72828742151122263_1771987978.jpg,2796,2796
Ami 아미 청바지 28사이즈 | 논현동 | 여성의류 | 당근 중고거래,https://dnvefa72aowie.cloudfront.net/origin/article/202311/98f4b2aa6094eab3841d68b00f0d5ad1a25a7f54df61751157e9dfaa422b6a4e_0.webp?f=webp&q=95&s=1440x1440&t=inside,https://search.pstatic.net/sunny/?type=b150&src=https://dnvefa72aowie.cloudfront.net/origin/article/202311/98f4b2aa6094eab3841d68b00f0d5ad1a25a7f54df61751157e9dfaa422b6a4e_0.webp?f=webp&q=95&s=1440x1440&t=inside,1433,1075
와이드핏 밴딩 데님 청바지 팬츠 여자일자청바지 : BN마켓,https://shop-phinf.pstatic.net/20240829_193/1724858315724xaJJ0_JPEG/4897115716039595_1908575823.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240829_193/1724858315724xaJJ0_JPEG/4897115716039595_1908575823.jpg,1000,1000
남성 출근룩 슬림핏 청바지 와이드 슬림 긴바지 봄가을 일자 인기1 : 뚜떼르6호점,https://shop-phinf.pstatic.net/20240920_221/1726814901962oDbnm_JPEG/3452316228167733_631269536.jpeg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240920_221/1726814901962oDbnm_JPEG/3452316228167733_631269536.jpeg,500,500
여성 청바지 빈티지한 매력적인 코디 럭셔리한 여친룩 : 온유1,https://shop-phinf.pstatic.net/20240919_155/17267545776901TOuR_JPEG/3562735737803593_688498580.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240919_155/17267545776901TOuR_JPEG/3562735737803593_688498580.jpg,1000,750
리리스 워싱 핀턱 와이드 청바지 1col : 리리스 RIRIS,http://shop1.phinf.naver.net/20240826_265/172465798827354uMy_JPEG/71623243039500635_51567431.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240826_265/172465798827354uMy_JPEG/71623243039500635_51567431.jpg,1000,1000
마이진 남자청바지 긴 가을 데님팬츠 자수 봄 ADOR1 : 마이진23,https://shop-phinf.pstatic.net/20240509_243/17152564571188flQT_JPEG/12836189185510322_435227380.jpeg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240509_243/17152564571188flQT_JPEG/12836189185510322_435227380.jpeg,500,500
남성 주머니 청바지 품격있는 남성 편안한 다양한 기본템 : 뭉치둥치,https://shop-phinf.pstatic.net/20240705_25/1720108082168VaVFe_JPEG/35076927373238835_591669376.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240705_25/1720108082168VaVFe_JPEG/35076927373238835_591669376.jpg,1200,900
세련된 일상룩 남성 플로럴 패턴 청바지 코디 캐주얼 유니크한 : 디파일론,https://shop-phinf.pstatic.net/20240710_35/1720551014996QwbnY_JPEG/9932374806330072_941671842.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240710_35/1720551014996QwbnY_JPEG/9932374806330072_941671842.jpg,1200,900
와이드 청바지 통바지 | 당근 중고거래,https://img.kr.gcp-karroter.net/origin/article/202408/15b04ae1254c2b531b342a25b768017f85d9e117f348beb0107add5b2e9a9e6a.jpg?f=webp&q=95&s=1440x1440&t=inside,https://search.pstatic.net/sunny/?type=b150&src=https://img.kr.gcp-karroter.net/origin/article/202408/15b04ae1254c2b531b342a25b768017f85d9e117f348beb0107add5b2e9a9e6a.jpg?f=webp&q=95&s=1440x1440&t=inside,1440,1081
여름 청바지 | 당근 중고거래,https://dnvefa72aowie.cloudfront.net/origin/article/202405/76571da6ad5695e14a0638740121215fadb604d85760b5a218962b8b5da12b21.jpg?f=webp&q=95&s=1440x1440&t=inside,https://search.pstatic.net/sunny/?type=b150&src=https://dnvefa72aowie.cloudfront.net/origin/article/202405/76571da6ad5695e14a0638740121215fadb604d85760b5a218962b8b5da12b21.jpg?f=webp&q=95&s=1440x1440&t=inside,1440,1080
26사이즈 4벌 여성 청바지 ... | 당근 중고거래 26사이즈 4벌  여성 청바지 ... | 당근 중고거래,https://dnvefa72aowie.cloudfront.net/origin/article/202402/90345d015e66526989405aefbcc85068132d98215c34ccd83a2c156d809a216c_0.webp?f=webp&q=95&s=1440x1440&t=inside,https://search.pstatic.net/sunny/?type=b150&src=https://dnvefa72aowie.cloudfront.net/origin/article/202402/90345d015e66526989405aefbcc85068132d98215c34ccd83a2c156d809a216c_0.webp?f=webp&q=95&s=1440x1440&t=inside,1000,750
남자 일자핏 청바지 남성 일자 배기 데님팬츠 캐주얼 와이드핏 젠5 : 스마콕,https://shop-phinf.pstatic.net/20240415_107/1713177839604ktwhf_PNG/4066840850119817_706713333.png,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240415_107/1713177839604ktwhf_PNG/4066840850119817_706713333.png,500,500
(S-XL)레직기 와이드 부츠컷 데님 팬츠 청바지 Y2K YKK 하이웨스트 난스판 데일리 캐주얼 페미닌 날씬핏 나팔바지 하의 빅사이즈 사계절... ,http://shop1.phinf.naver.net/20240828_13/17248316458568yzcN_JPEG/5276508686009031_1966100271.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240828_13/17248316458568yzcN_JPEG/5276508686009031_1966100271.jpg,1000,1000
기본템 남자 기모 청바지 여유있는 스타일리시한 실용적인 인기 있는 : 패치워크1,https://shop-phinf.pstatic.net/20240706_190/17202121269508RwSe_JPEG/1942441791824328_156968808.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20240706_190/17202121269508RwSe_JPEG/1942441791824328_156968808.jpg,1000,750
유니크한 남성 주머니 청바지 기본템 데일리룩 실용성 빈티지한 : 호사해피,http://shop1.phinf.naver.net/20240615_82/1718416453486Ialks_JPEG/55288924290562758_704565039.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240615_82/1718416453486Ialks_JPEG/55288924290562758_704565039.jpg,800,800
아이언하트 남성 남친 데님바지 일자핏 추동 청바지 일자 스판 비즈니스 KKE4 : 아이언하트,https://shop-phinf.pstatic.net/20241106_286/1730876183028GSjoj_JPEG/11658419602494015_1200363251.jpeg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20241106_286/1730876183028GSjoj_JPEG/11658419602494015_1200363251.jpeg,1000,1000
